fen
4r1k1/5p2/2p1rB1p/1p2P1p1/pPPP4/8/P5PP/R4RK1 w - - 1 28
r2q1rk1/p4pp1/b1pb1n1p/8/2nPp3/1BN1B2N/PPP2PPP/R2QK2R b KQ - 6 14
2q1kbnr/5ppp/pB2p3/1p1p4/8/3B4/PP1Q1PPP/4R1K1 b k - 1 18
2r3k1/3b1qp1/3b4/1p1p4/3PpPpp/1P2P1P1/1B1N3P/2R1Q1K1 b - - 1 24
2kr3r/ppp1qp2/2np1n1p/3N4/2Q1P2B/5P2/PP4P1/R3K2R b KQ - 2 16
r2qr1k1/pp3pp1/2n2N1p/5b2/2Pb4/1P4P1/PBQ1PPBP/3R1RK1 b - - 0 15
N1q2rk1/p3bppp/np2p3/3pN3/3Pn3/1P1QP3/PB3PPP/2R2RK1 b - - 2 17
8/r1k4p/2pb1pp1/p1N1p3/4P2N/1P4PP/4KP2/3R4 b - - 0 29
2r3k1/p6p/1p6/5p2/3Q4/2PKp2P/PP4q1/R6n b - - 1 27
r3kr2/pp3q2/2p4p/3nPp1b/P2P1p2/3B2P1/1R1QNK1P/7R w q - 0 24
2kr1b1r/p1q3pp/1p3p2/2p1n3/8/2P1R1P1/PP3PBP/R1B1Q1K1 b - - 2 16
r3k2r/pppb1p2/3p1qp1/3Pp1pQ/3bP2P/3P1P2/PP4P1/R3KB1R w KQkq - 0 14
r4r2/pp6/3k4/3N4/2p2RP1/8/PPP3PP/4R2K b - - 0 29
2kr1bnr/pppqnp2/4b2p/PP1p2p1/3P4/5N2/2P1BPPP/RNBQ1RK1 b - - 0 11
r5k1/1p3pp1/p1np3p/3p4/3P2q1/2PQ2N1/PrN2PK1/7R b - - 1 24
5rk1/1p3ppp/1p1Q4/pP1P4/P3q1b1/8/5PPP/5RK1 w - - 0 28
r1b2rk1/ppp1bppp/4p3/5PN1/2B3nP/2N5/PP1P2P1/n1BKR3 w - - 5 16
2r5/p4pkp/1p6/2p5/2Pb1BP1/r7/5P2/5RK1 b - - 0 27
r4rk1/p2nq1pp/2p5/2Pp4/3Pp3/2P2pP1/P1N2P1P/R2Q1RK1 b - - 0 19
3r1rk1/1ppqb1p1/p1n1b2p/3pP1n1/1P1P2P1/P1NQB2P/4B2N/2R2RK1 b - - 2 19
7r/1pq2pk1/p1b1pn2/2Pp1p2/3P1R2/6PP/PP2QPBK/4R3 b - - 7 28
r4rk1/p4ppp/1p2p1n1/8/2P2P2/1P6/P4PBP/3RK2R w K - 1 20
r2qk1nr/ppp2ppp/8/2bb4/3NP1n1/6P1/PPP3BP/RNBQ1RK1 b kq - 0 11
r1q2rk1/1p1bppbp/pN1p1np1/3P1n2/2P5/5N2/P2BBPPP/1R1Q1RK1 b - - 7 18
3q1rk1/p1p2ppp/2Q2n2/3p1r2/8/1PN5/P1P2PP1/R3R1K1 b - - 0 19
