puzzle_id,fen,key_moves,mate_in,rating
DQvo1,5k2/2R3pp/1B1r1p2/P1b1pP2/4P3/8/P1P4P/2K5 b - - 7 36,c5a3,2,1373
agsri,r2r2k1/5ppp/p3p1q1/1p6/8/3RPP2/PP2QP1P/3R3K w - - 0 28,d3d8,2,566
hgDJq,3r1nk1/5p2/3q1Qp1/3B2Pp/7P/8/5PK1/8 w - - 0 46,f6f7,2,954
HVUix,8/8/Rp3k1p/n7/5P1K/P4BP1/1r5P/8 b - - 4 40,b2h2,2,955
IpZ9o,5r2/p5bk/3pQ1pp/7B/3pP3/3Nq3/PP4PP/2R4K b - - 2 26,e3c1,2,1483
QEyKs,4r3/1bpkrp2/p2p4/1p4NB/8/P2P3P/1bR2PPB/3R2K1 b - - 0 26,e7e1,2,462
Hv36q,2r3rk/R4B1p/5p1B/8/3R1Pn1/6Pb/P3P2P/6K1 b - - 0 26,c8c1,2,513
hX7Tj,8/p4bkp/2Q2p2/6q1/3B1p1P/3P4/PPP1r1P1/6KR b - - 0 31,e2e1,2,1721
xYOyu,8/7R/2r5/8/8/1K6/p7/k7 w - - 8 80,h7h1,2,1188
8qsTa,r5r1/pppbb2k/3p2qp/3P1p1n/P3p3/2N1QP2/1PPBBRPP/6RK b - - 6 26,h5g3,2,1404
X4X91,8/2q4p/5Q2/6p1/6k1/8/5PKP/8 w - - 0 43,f6f3,2,1696
vOy9a,r5rk/2q1bppp/pp2p3/8/P2N2Q1/2P1n2R/1P4PP/R6K w - - 0 24,h3h7,2,1471
ZKGaS,3r3k/p1p3pp/1p6/4Q3/2n3q1/P1P5/7P/4R2K w - - 4 29,e5e8,2,629
EkRq7,r5k1/qpp2ppp/r7/6PP/1n1Q1P2/1P2P3/1BPP4/1KR3N1 b - - 4 24,a6a1,2,1406
5MiVm,3r2k1/1R3p2/1P1q2p1/7p/8/5Q2/6K1/8 w - - 3 45,f3f7,2,948
own6S,r5k1/5ppp/pq1p4/1p2p3/1PP5/5P2/2QbK1PP/R4B1R b - - 0 25,b6e3,2,829
limis,6k1/p4ppp/1p1rp3/4N3/1P6/Pn1pKPP1/7P/2R5 w - - 1 27,c1c8,2,557
